START_DATE*,END_DATE*,START*,STOP*,MILES*,PLACE_TYPE*,USER*
1/29/2016 10:56,1/29/2016 11:07,Cary,Cary,5.2,GYM,Nancy Brennan
1/29/2016 11:43,1/29/2016 12:03,Cary,Durham,10.4,SHOPPING,Aaron Webb
1/29/2016 13:24,1/29/2016 13:47,Durham,Cary,10.1,OTHERS,Steven Jones
1/29/2016 18:31,1/29/2016 18:52,Cary,Apex,5.8,RESTAURANT,John Medina
1/29/2016 21:21,1/29/2016 21:40,Apex,Cary,5.5,OFFICE,Tracy Hanna
1/30/2016 16:21,1/30/2016 16:33,Cary,Apex,5.7,OFFICE,Wesley Wilson
1/30/2016 18:09,1/30/2016 18:24,Apex,Cary,5.7,PLAY ARENA,Kelly Torres
2/1/2016 10:35,2/1/2016 11:15,Cary,Chapel Hill,19.4,PLAY ARENA,Brendan Rivera
2/1/2016 12:10,2/1/2016 12:43,Chapel Hill,Cary,23.3,SHOPPING,Kylie Gordon
2/1/2016 12:56,2/1/2016 13:07,Northwoods,Whitebridge,3.9,RESTAURANT,Sophia Hernandez
2/2/2016 13:04,2/2/2016 13:23,Whitebridge,Williamsburg Manor,8.3,OFFICE,John Medina
2/2/2016 13:51,2/2/2016 14:06,Cary,Cary,6.0,OFFICE,Amber Young
2/2/2016 14:38,2/2/2016 14:42,Cary,Cary,1.6,RESTAURANT,Lynn Elliott
2/4/2016 8:40,2/4/2016 9:01,Cary,Morrisville,5.2,SHOPPING,William Walker
2/4/2016 9:37,2/4/2016 10:09,Morrisville,Cary,9.7,OFFICE,Margaret Brock
2/4/2016 10:26,2/4/2016 10:32,Cary,Cary,1.6,SHOPPING,Kelly Torres
2/4/2016 15:59,2/4/2016 16:03,Cary,Cary,1.1,OFFICE,Mark Rodriguez DDS
2/4/2016 16:35,2/4/2016 16:39,Cary,Cary,1.6,PLAY ARENA,Alexandra Lewis
2/4/2016 18:04,2/4/2016 18:31,Whitebridge,Macgregor Downs,9.0,BAR,Chad Davis
2/4/2016 20:36,2/4/2016 20:55,Cary,Cary,7.7,PLAY ARENA,Samantha Coleman
2/5/2016 11:47,2/5/2016 12:07,Cary,Durham,10.4,OTHERS,Chad Davis
2/5/2016 13:22,2/5/2016 13:41,Durham,Cary,10.4,GYM,Brendan Rivera
2/6/2016 16:20,2/6/2016 16:53,Cary,Raleigh,11.4,OTHERS,Amber Young
2/6/2016 18:57,2/6/2016 19:21,Raleigh,Cary,9.0,RESTAURANT,Heather Mcguire
2/6/2016 19:28,2/6/2016 19:37,Edgehill Farms,Whitebridge,3.2,OTHERS,Erika Brown
2/7/2016 16:49,2/7/2016 17:01,Cary,Apex,5.6,GYM,Kelly Torres
2/7/2016 18:03,2/7/2016 18:17,Apex,Cary,5.7,OTHERS,Alexandra Lewis
2/7/2016 18:39,2/7/2016 18:53,Cary,Morrisville,6.1,PLAY ARENA,Samantha Coleman
2/7/2016 20:22,2/7/2016 20:40,Morrisville,Cary,6.1,GYM,David Whitaker
2/8/2016 12:57,2/8/2016 13:08,Whitebridge,Edgehill Farms,4.3,GYM,George Thomas Jr.
2/8/2016 14:00,2/8/2016 14:10,Edgehill Farms,Whitebridge,2.7,GYM,Brendan Rivera
2/9/2016 10:54,2/9/2016 11:07,Whitebridge,Northwoods,5.3,OTHERS,Lynn Elliott
2/9/2016 11:43,2/9/2016 11:50,Northwoods,Tanglewood,3.0,SHOPPING,Matthew Russell
2/9/2016 13:36,2/9/2016 13:52,Tanglewood,Preston,5.1,OTHERS,Alexandria Barrett
2/9/2016 13:58,2/9/2016 14:02,Preston,Whitebridge,1.5,RESTAURANT,Sarah Peck
2/9/2016 18:55,2/9/2016 19:11,Cary,Morrisville,6.1,GYM,Courtney Jones
2/9/2016 20:24,2/9/2016 20:40,Morrisville,Cary,6.1,OTHERS,Aaron Webb
2/11/2016 16:28,2/11/2016 17:10,Cary,Raleigh,17.3,OTHERS,Richard Reid
2/11/2016 17:49,2/11/2016 18:10,Eastgate,Walnut Terrace,5.7,GYM,Michael Mckinney
2/11/2016 18:24,2/11/2016 18:46,Raleigh,Morrisville,13.5,OTHERS,Cynthia Campbell
2/11/2016 20:36,2/11/2016 20:51,Morrisville,Cary,6.1,GYM,Ryan Barnes
2/12/2016 8:21,2/12/2016 8:42,Cary,Durham,8.5,PLAY ARENA,Maria Tran
2/12/2016 10:45,2/12/2016 10:52,Durham,Morrisville,2.6,GYM,Rose Cruz
2/12/2016 11:14,2/12/2016 11:35,Morrisville,Raleigh,17.0,RESTAURANT,Heather Mcguire
2/12/2016 13:02,2/12/2016 13:36,Raleigh,Cary,18.0,SHOPPING,Alexandra Lewis
2/12/2016 14:49,2/12/2016 15:06,Cary,Morrisville,8.4,OFFICE,Matthew Russell
2/12/2016 15:33,2/12/2016 16:06,Morrisville,Cary,11.5,OTHERS,Sarah Peck
2/13/2016 14:21,2/13/2016 14:41,Cary,Morrisville,8.9,RESTAURANT,Amber Young
2/13/2016 23:45,2/14/2016 0:01,East Elmhurst,Jackson Heights,2.7,GYM,Alexis Barry
2/14/2016 0:50,2/14/2016 1:00,Jackson Heights,East Elmhurst,1.8,GYM,Margaret Brock
2/14/2016 14:07,2/14/2016 14:40,East Elmhurst,New York,8.1,SHOPPING,David Patel
2/14/2016 14:46,2/14/2016 15:03,Midtown,Midtown West,2.0,OFFICE,Kelly Torres
2/14/2016 16:35,2/14/2016 17:02,New York,Long Island City,13.0,BAR,Margaret Brock
2/14/2016 17:06,2/14/2016 17:29,Long Island City,Jamaica,13.9,OFFICE,Richard Reid
2/16/2016 3:21,2/16/2016 4:13,Katunayaka,Unknown Location,43.7,RESTAURANT,Courtney Jones
2/16/2016 8:29,2/16/2016 9:34,Unknown Location,Colombo,14.1,PLAY ARENA,David Patel
2/16/2016 10:31,2/16/2016 10:41,Colombo,Colombo,2.6,BAR,Sophia Hernandez
2/16/2016 11:32,2/16/2016 12:02,Colombo,Colombo,4.5,OTHERS,William Jennings
2/16/2016 12:39,2/16/2016 12:42,Colombo,Colombo,1.7,OTHERS,Patricia Marshall
2/16/2016 13:43,2/16/2016 13:55,Colombo,Colombo,1.8,OTHERS,Heather Mcguire
2/16/2016 16:34,2/16/2016 17:10,Colombo,Colombo,6.0,OFFICE,William Jennings
2/16/2016 17:17,2/16/2016 17:26,Colombo,Nugegoda,1.1,BAR,Nicole Garrett
2/16/2016 17:40,2/16/2016 17:44,Nugegoda,Unknown Location,3.6,PLAY ARENA,David Patel
2/17/2016 13:18,2/17/2016 14:04,Unknown Location,Colombo,14.7,OTHERS,Amber Young
2/17/2016 15:17,2/17/2016 15:22,Colombo,Colombo,1.7,RESTAURANT,Amber Young
2/17/2016 15:33,2/17/2016 16:17,Colombo,Katunayaka,21.4,SHOPPING,Maria Tran
2/17/2016 16:38,2/17/2016 16:43,Katunayaka,Katunayaka,0.5,SHOPPING,Aaron Webb
2/18/2016 8:19,2/18/2016 8:27,Unknown Location,Unknown Location,23.5,GYM,Samantha Coleman
2/18/2016 14:03,2/18/2016 14:45,Unknown Location,Islamabad,12.7,SHOPPING,Troy Stewart
2/18/2016 15:16,2/18/2016 15:31,Islamabad,Unknown Location,6.0,PLAY ARENA,George Thomas Jr.
2/18/2016 18:44,2/18/2016 18:58,Unknown Location,Islamabad,5.2,OTHERS,Kelly Torres
2/18/2016 19:27,2/18/2016 20:08,Islamabad,Unknown Location,10.0,PLAY ARENA,Alexis Barry
2/19/2016 9:02,2/19/2016 9:14,Unknown Location,Unknown Location,18.3,RESTAURANT,Alexandra Lewis
2/19/2016 9:21,2/19/2016 9:51,Unknown Location,Unknown Location,11.2,RESTAURANT,Amber Young
2/19/2016 10:21,2/19/2016 10:48,Unknown Location,Islamabad,7.6,RESTAURANT,Kelly Torres
2/19/2016 11:20,2/19/2016 11:26,Islamabad,Islamabad,1.5,PLAY ARENA,Jeremy Price
2/19/2016 11:45,2/19/2016 11:50,Islamabad,Islamabad,1.0,RESTAURANT,Sarah Peck
2/19/2016 12:09,2/19/2016 12:27,Islamabad,Unknown Location,7.3,PLAY ARENA,Amber Young
2/19/2016 16:26,2/19/2016 16:45,Unknown Location,Islamabad,3.5,RESTAURANT,Nancy Brennan
2/19/2016 17:09,2/19/2016 17:20,Islamabad,Islamabad,4.2,SHOPPING,David Whitaker
2/19/2016 20:08,2/19/2016 20:30,Islamabad,Unknown Location,13.6,OTHERS,Tracy Hanna
2/19/2016 20:34,2/19/2016 20:51,Unknown Location,Unknown Location,2.5,GYM,Kylie Gordon
2/20/2016 7:59,2/20/2016 8:32,Unknown Location,Islamabad,14.4,OFFICE,Aaron Webb
2/20/2016 10:48,2/20/2016 10:56,Islamabad,Islamabad,3.0,OTHERS,Alexandria Barrett
2/20/2016 11:45,2/20/2016 11:53,Islamabad,Islamabad,1.5,OFFICE,Maria Tran
2/20/2016 12:41,2/20/2016 13:17,Islamabad,R?walpindi,18.4,SHOPPING,Jeremy Price
2/20/2016 14:50,2/20/2016 15:54,R?walpindi,R?walpindi,23.1,PLAY ARENA,Chad Davis
2/20/2016 16:59,2/20/2016 17:54,R?walpindi,Unknown Location,16.5,GYM,David Whitaker
2/20/2016 18:00,2/20/2016 18:03,Unknown Location,Unknown Location,3.2,OTHERS,Alexis Barry
2/20/2016 19:28,2/20/2016 19:49,Unknown Location,Unknown Location,7.7,RESTAURANT,John Medina
2/21/2016 9:07,2/21/2016 9:46,Unknown Location,Islamabad,14.5,OTHERS,Amber Young
2/21/2016 11:39,2/21/2016 11:43,Unknown Location,Islamabad,2.4,OTHERS,Mark Rodriguez DDS
2/21/2016 11:47,2/21/2016 12:01,Islamabad,Islamabad,4.6,OFFICE,Alexis Wang
2/21/2016 12:13,2/21/2016 12:35,Islamabad,Unknown Location,8.8,OTHERS,Heather Maxwell
2/21/2016 12:51,2/21/2016 13:12,Unknown Location,Unknown Location,8.3,GYM,Troy Stewart
2/21/2016 13:33,2/21/2016 14:30,Unknown Location,Unknown Location,22.7,OFFICE,George Thomas Jr.
2/21/2016 14:36,2/21/2016 15:03,Unknown Location,Islamabad,13.0,PLAY ARENA,Patricia Marshall
2/21/2016 15:14,2/21/2016 15:31,Islamabad,Noorpur Shahan,8.1,RESTAURANT,Sarah Peck
2/21/2016 15:36,2/21/2016 15:41,Noorpur Shahan,Unknown Location,2.2,RESTAURANT,Troy Stewart
2/21/2016 16:04,2/21/2016 16:32,Unknown Location,Unknown Location,9.7,RESTAURANT,Alexis Barry
2/21/2016 23:15,2/21/2016 23:52,Unknown Location,R?walpindi,20.0,BAR,Margaret Brock
2/22/2016 21:54,2/22/2016 22:09,Morrisville,Cary,8.1,BAR,Erika Brown
2/24/2016 14:30,2/24/2016 14:35,Whitebridge,Preston,1.5,OFFICE,Nancy Brennan
2/24/2016 15:19,2/24/2016 15:25,Preston,Whitebridge,1.7,SHOPPING,Matthew Russell
2/25/2016 16:27,2/25/2016 16:35,Whitebridge,Heritage Pines,3.1,OTHERS,Nicole Garrett
2/25/2016 16:47,2/25/2016 17:02,Heritage Pines,Whitebridge,3.2,BAR,Chad Davis
2/25/2016 17:16,2/25/2016 17:36,Whitebridge,Tanglewood,6.0,PLAY ARENA,Mark Rodriguez DDS
2/25/2016 18:22,2/25/2016 18:39,Tanglewood,Whitebridge,5.8,SHOPPING,Alexandra Lewis
2/26/2016 9:06,2/26/2016 9:29,Whitebridge,Westpark Place,6.3,OTHERS,Matthew Russell
2/26/2016 11:05,2/26/2016 11:11,Westpark Place,Whitebridge,1.7,OTHERS,Traci Braun
2/26/2016 11:35,2/26/2016 11:59,Cary,Durham,10.6,OTHERS,Richard Reid
2/26/2016 13:01,2/26/2016 13:24,Durham,Cary,9.9,OTHERS,Nancy Brennan
2/26/2016 14:38,2/26/2016 14:46,Whitebridge,Westpark Place,1.9,RESTAURANT,Michael Mckinney
2/26/2016 15:00,2/26/2016 15:18,Westpark Place,Hazelwood,4.2,SHOPPING,Sophia Hernandez
2/26/2016 17:01,2/26/2016 17:12,Hazelwood,Whitebridge,2.0,BAR,Patricia Marshall
2/28/2016 5:22,2/28/2016 5:38,Whitebridge,Waverly Place,7.7,PLAY ARENA,Margaret Brock
2/28/2016 9:26,2/28/2016 9:42,Waverly Place,Whitebridge,6.8,OTHERS,Lynn Elliott
2/29/2016 11:07,2/29/2016 11:14,Whitebridge,Westpark Place,2.1,OTHERS,John Medina
2/29/2016 11:30,2/29/2016 11:40,Cary,Apex,3.8,OTHERS,Michael Mckinney
2/29/2016 12:36,2/29/2016 12:48,Apex,Cary,5.6,RESTAURANT,William Walker
2/29/2016 14:55,2/29/2016 15:03,Whitebridge,Hazelwood,2.6,OFFICE,Courtney Jones
2/29/2016 16:40,2/29/2016 17:00,Hazelwood,Whitebridge,6.6,BAR,Steven Jones
3/1/2016 18:47,3/1/2016 19:10,Whitebridge,Wayne Ridge,8.0,BAR,Matthew Russell
3/1/2016 21:27,3/1/2016 21:45,Wayne Ridge,Whitebridge,8.0,OFFICE,Steven Jones
3/3/2016 9:45,3/3/2016 9:52,Whitebridge,Westpark Place,2.2,RESTAURANT,Sarah Peck
3/3/2016 11:04,3/3/2016 11:10,Westpark Place,Whitebridge,2.3,OFFICE,Lynn Elliott
3/3/2016 14:44,3/3/2016 14:58,Whitebridge,Northwoods,5.2,OTHERS,Patricia Marshall
3/3/2016 15:27,3/3/2016 15:48,Cary,Raleigh,7.6,BAR,Paul Smith
3/3/2016 16:02,3/3/2016 16:42,Raleigh,Cary,17.3,GYM,Sophia Hernandez
3/4/2016 7:47,3/4/2016 8:06,Cary,Durham,9.9,OFFICE,Erika Brown
3/4/2016 9:46,3/4/2016 10:03,Durham,Cary,9.9,GYM,Heather Mcguire
3/4/2016 11:46,3/4/2016 12:06,Cary,Durham,10.4,OFFICE,Alexis Wang
3/4/2016 13:03,3/4/2016 13:25,Durham,Cary,10.9,BAR,George Thomas Jr.
3/4/2016 13:40,3/4/2016 14:09,Cary,Raleigh,15.7,GYM,Wesley Wilson
3/4/2016 15:56,3/4/2016 16:08,Raleigh,Raleigh,4.9,BAR,Alexandra Lewis
3/4/2016 16:16,3/4/2016 16:22,Fayetteville Street,Depot Historic District,0.8,GYM,Brendan Rivera
3/4/2016 16:43,3/4/2016 17:12,Raleigh,Cary,13.5,RESTAURANT,Mark Rodriguez DDS
3/4/2016 19:02,3/4/2016 19:08,Cary,Morrisville,1.9,OFFICE,Brendan Rivera
3/4/2016 19:16,3/4/2016 19:25,Morrisville,Cary,2.0,RESTAURANT,Margaret Brock
3/5/2016 11:44,3/5/2016 11:59,Cary,Morrisville,6.5,BAR,Michelle Day
3/5/2016 12:57,3/5/2016 13:12,Weston,Weston,4.2,GYM,Lance Chan
3/5/2016 14:08,3/5/2016 14:18,Morrisville,Cary,3.5,OFFICE,Samantha Coleman
3/5/2016 14:39,3/5/2016 15:01,Whitebridge,Wayne Ridge,7.8,OFFICE,Michelle Day
3/5/2016 16:52,3/5/2016 17:13,Cary,Morrisville,7.8,PLAY ARENA,Erika Brown
3/5/2016 17:23,3/5/2016 17:34,Morrisville,Cary,3.9,RESTAURANT,George Thomas Jr.
3/7/2016 9:10,3/7/2016 9:20,Whitebridge,Edgehill Farms,2.8,BAR,Alexandria Barrett
3/7/2016 9:23,3/7/2016 9:47,Cary,Raleigh,12.4,OTHERS,Sophia Hernandez
3/7/2016 12:10,3/7/2016 12:26,Fayetteville Street,Meredith Townes,5.9,SHOPPING,Ryan Barnes
3/7/2016 13:57,3/7/2016 14:18,Meredith Townes,Leesville Hollow,9.4,GYM,Sarah Peck
3/7/2016 15:19,3/7/2016 15:45,Raleigh,Cary,11.9,OFFICE,David Patel
3/8/2016 14:38,3/8/2016 14:55,Whitebridge,Waverly Place,7.2,RESTAURANT,David Whitaker
3/8/2016 15:35,3/8/2016 16:00,Waverly Place,Whitebridge,7.6,PLAY ARENA,Traci Braun
3/8/2016 16:13,3/8/2016 16:25,Whitebridge,Whitebridge,1.6,PLAY ARENA,Paul Smith
3/10/2016 3:36,3/10/2016 3:53,Cary,Morrisville,8.4,SHOPPING,Ryan Barnes
3/10/2016 10:08,3/10/2016 10:37,East Austin,West University,12.8,OFFICE,Rachel Williams
3/10/2016 14:39,3/10/2016 14:55,West University,South Congress,2.3,RESTAURANT,Kylie Gordon
3/10/2016 16:18,3/10/2016 16:28,South Congress,Arts District,1.6,OTHERS,Chad Davis
3/11/2016 9:47,3/11/2016 9:59,The Drag,Congress Ave District,2.0,OTHERS,Wesley Wilson
3/11/2016 10:29,3/11/2016 10:36,Congress Ave District,Downtown,0.8,RESTAURANT,Sarah Peck
3/11/2016 11:57,3/11/2016 12:04,Downtown,Red River District,1.2,BAR,Rose Cruz
3/11/2016 13:43,3/11/2016 13:51,Red River District,Downtown,1.0,RESTAURANT,Traci Braun
3/11/2016 19:21,3/11/2016 19:35,South Congress,The Drag,2.1,BAR,Cynthia Campbell
3/12/2016 9:13,3/12/2016 9:22,The Drag,South Congress,2.2,OTHERS,Alexandra Lewis
3/12/2016 18:27,3/12/2016 18:37,South Congress,The Drag,1.9,SHOPPING,Chad Davis
3/13/2016 9:07,3/13/2016 9:37,The Drag,Convention Center District,5.7,GYM,Kylie Gordon
3/13/2016 18:23,3/13/2016 18:43,South Congress,North Austin,8.4,SHOPPING,David Hartman
3/13/2016 20:07,3/13/2016 20:28,Georgian Acres,The Drag,6.2,RESTAURANT,Mark Rodriguez DDS
3/13/2016 20:39,3/13/2016 20:58,The Drag,North Austin,10.5,SHOPPING,Nancy Brennan
3/13/2016 21:11,3/13/2016 21:23,North Austin,Coxville,7.2,BAR,Aaron Webb
3/13/2016 22:19,3/13/2016 22:39,Coxville,The Drag,12.5,OTHERS,Richard Reid
3/14/2016 8:34,3/14/2016 8:49,The Drag,South Congress,2.0,GYM,Lance Chan
3/14/2016 18:39,3/14/2016 18:55,South Congress,The Drag,2.7,RESTAURANT,Steven Jones
3/15/2016 8:45,3/15/2016 8:57,The Drag,Convention Center District,2.0,OFFICE,Paul Smith
3/15/2016 20:48,3/15/2016 21:01,Downtown,The Drag,2.8,SHOPPING,Sophia Hernandez
3/16/2016 11:34,3/16/2016 11:45,The Drag,Congress Ave District,1.7,RESTAURANT,Elizabeth Gross
3/16/2016 14:44,3/16/2016 14:55,Convention Center District,West University,2.0,GYM,Nancy Brennan
3/16/2016 18:43,3/16/2016 18:56,West University,Congress Ave District,2.1,BAR,Heather Maxwell
3/17/2016 0:33,3/17/2016 0:44,Downtown,The Drag,1.7,SHOPPING,Nicole Garrett
3/17/2016 12:52,3/17/2016 15:11,Austin,Katy,136.0,BAR,Courtney Jones
3/17/2016 15:16,3/17/2016 15:58,Katy,Houston,30.2,PLAY ARENA,David Hartman
3/17/2016 17:20,3/17/2016 18:02,Midtown,Alief,15.5,OTHERS,Kelly Torres
3/17/2016 18:47,3/17/2016 19:09,Houston,Houston,4.9,RESTAURANT,Nicole Garrett
3/17/2016 20:57,3/17/2016 21:28,Houston,Houston,12.6,SHOPPING,Nancy Brennan
3/17/2016 21:48,3/17/2016 22:04,Sharpstown,Midtown,10.4,OTHERS,William Jennings
3/18/2016 7:15,3/18/2016 7:21,Midtown,Midtown,1.1,GYM,Alexandra Lewis
3/18/2016 8:35,3/18/2016 8:43,Midtown,Midtown,1.1,SHOPPING,Lynn Elliott
3/18/2016 18:24,3/18/2016 19:08,Midtown,Sharpstown,13.2,RESTAURANT,David Patel
3/18/2016 19:23,3/18/2016 19:29,Sharpstown,Sharpstown,1.0,OTHERS,Sarah Peck
3/18/2016 21:01,3/18/2016 21:15,Sharpstown,Midtown,9.2,SHOPPING,David Patel
3/19/2016 9:10,3/19/2016 9:25,Midtown,Sharpstown,9.4,GYM,William Jennings
3/19/2016 12:50,3/19/2016 13:13,Houston,Sugar Land,12.0,OFFICE,George Thomas Jr.
3/19/2016 14:01,3/19/2016 14:57,Sugar Land,Houston,35.1,OFFICE,Troy Stewart
3/19/2016 15:34,3/19/2016 16:38,Houston,Galveston,36.5,RESTAURANT,Alexis Barry
3/19/2016 17:17,3/19/2016 17:32,Galveston,Port Bolivar,3.1,RESTAURANT,Kelly Torres
3/19/2016 17:37,3/19/2016 17:47,Port Bolivar,Port Bolivar,2.1,SHOPPING,William Jennings
3/19/2016 17:52,3/19/2016 18:00,Port Bolivar,Port Bolivar,1.2,SHOPPING,Jeremy Price
3/19/2016 18:53,3/19/2016 19:29,Port Bolivar,Galveston,7.5,SHOPPING,Traci Braun
3/19/2016 19:33,3/19/2016 20:39,Galveston,Houston,57.0,BAR,John Medina
3/20/2016 7:37,3/20/2016 7:48,Midtown,Washington Avenue,5.9,GYM,Troy Stewart
3/20/2016 11:42,3/20/2016 11:56,Washington Avenue,Midtown,6.2,BAR,Nancy Brennan
3/20/2016 17:08,3/20/2016 17:34,Midtown,Sharpstown,10.4,GYM,Cynthia Campbell
3/20/2016 18:34,3/20/2016 18:40,Sharpstown,Briar Meadow,1.2,PLAY ARENA,Patricia Marshall
3/20/2016 18:45,3/20/2016 19:06,Briar Meadow,Midtown,9.6,GYM,Steven Jones
3/21/2016 10:21,3/21/2016 10:26,Midtown,Downtown,1.0,OTHERS,Samantha Coleman
3/21/2016 16:05,3/21/2016 16:13,Downtown,Midtown,0.9,SHOPPING,David Hartman
3/21/2016 18:59,3/21/2016 19:15,Midtown,Sharpstown,8.8,PLAY ARENA,Kylie Gordon
3/21/2016 20:18,3/21/2016 20:55,Sharpstown,Midtown,25.6,OTHERS,Amber Young
3/22/2016 6:17,3/22/2016 6:43,Midtown,Greater Greenspoint,23.0,GYM,Jeremy Price
3/22/2016 12:06,3/22/2016 12:24,Morrisville,Cary,8.1,OFFICE,Troy Stewart
3/22/2016 19:12,3/22/2016 19:25,Whitebridge,Whitebridge,1.4,PLAY ARENA,Aaron Webb
3/23/2016 14:37,3/23/2016 14:42,Whitebridge,Preston,1.7,OFFICE,Patricia Marshall
3/23/2016 14:53,3/23/2016 14:59,Preston,Whitebridge,1.6,GYM,Traci Braun
3/24/2016 19:47,3/24/2016 19:54,Whitebridge,Westpark Place,2.0,OTHERS,Heather Mcguire
